"id","group_code","group_name","sub_group_code","sub_group_name","task_name","ly_trinh","unit","thiet_ke","percent_week","percent_duan","note","from_date","to_date","sub_code","sub_name"
"212","II.3","Tuyến Nội khu",,,,"Từ G23 đến G29","cái","47",,,"nan","2025-06-23","2025-06-29",,"Lắp đặt hố ga"
"213","II.3","Tuyến Nội khu",,,,"nan","nan","nan",,,"nan","2025-06-23","2025-06-29",,"D800"
"214","II.3","Tuyến Nội khu",,,,"nan","m3","1364.4061568941281",,,"nan","2025-06-23","2025-06-29",,"Thi công đào móng ga cống"
"215","II.3","Tuyến Nội khu",,,,"0","m3","25.190000000000005",,,"nan","2025-06-23","2025-06-29",,"Thi công lớp cát đệm đầm chặt K95"
"216","II.3","Tuyến Nội khu",,,,"0","m3","37.785000000000004",,,"nan","2025-06-23","2025-06-29",,"Thi công lớp đá dăm 2x4 đệm"
"217","II.3","Tuyến Nội khu",,,,"0","m","229",,,"nan","2025-06-23","2025-06-29",,"Lắp đặt cống D800"
"218","II.3","Tuyến Nội khu",,,,"0","m3","27.64800000000001",,,"nan","2025-06-23","2025-06-29",,"Thi công lớp đá dăm 2x4 đệm móng hố ga"
"219","II.3","Tuyến Nội khu",,,,"0","m3","20.736000000000008",,,"nan","2025-06-23","2025-06-29",,"Thi công bê tông lót M100 móng hố ga"
"220","II.3","Tuyến Nội khu",,,,"0","cái","48",,,"nan","2025-06-23","2025-06-29",,"Lắp đặt hố ga D800"
"221","II.3","Tuyến Nội khu",,,,"nan","nan","nan",,,"nan","2025-06-23","2025-06-29",,"D1000"
"222","II.3","Tuyến Nội khu",,,,"nan","m3","1874.0001803515618",,,"nan","2025-06-23","2025-06-29",,"Thi công đào móng ga cống"
"223","II.3","Tuyến Nội khu",,,,"0","m3","51.483000000000004",,,"nan","2025-06-23","2025-06-29",,"Thi công lớp cát đệm đầm chặt K95"
"224","II.3","Tuyến Nội khu",,,,"0","m3","77.2245",,,"nan","2025-06-23","2025-06-29",,"Thi công lớp đá dăm 2x4 đệm"
"225","II.3","Tuyến Nội khu",,,,"0","m","393",,,"nan","2025-06-23","2025-06-29",,"Lắp đặt cống D1000"
"226","II.3","Tuyến Nội khu",,,,"0","m3","3.7800000000000007",,,"nan","2025-06-23","2025-06-29",,"Thi công lớp đá dăm 2x4 đệm móng hố ga"
"227","II.3","Tuyến Nội khu",,,,"0","m3","2.8350000000000004",,,"nan","2025-06-23","2025-06-29",,"Thi công bê tông lót M100 móng hố ga"
"228","II.3","Tuyến Nội khu",,,,"0","cái","5",,,"nan","2025-06-23","2025-06-29",,"Lắp đặt hố ga D1000"
"229","II.3","Tuyến Nội khu",,,,"nan","nan","nan",,,"nan","2025-06-23","2025-06-29",,"D1250"
"230","II.3","Tuyến Nội khu",,,,"nan","m3","1153.0132431674995",,,"nan","2025-06-23","2025-06-29",,"Thi công đào móng ga cống"
"231","II.3","Tuyến Nội khu",,,,"0","m3","31.5436",,,"nan","2025-06-23","2025-06-29",,"Thi công lớp cát đệm đầm chặt K95"
"232","II.3","Tuyến Nội khu",,,,"0","m3","47.3154",,,"nan","2025-06-23","2025-06-29",,"Thi công lớp đá dăm 2x4 đệm"
"233","II.3","Tuyến Nội khu",,,,"0","m","214",,,"nan","2025-06-23","2025-06-29",,"Lắp đặt cống D1250"
"234","II.3","Tuyến Nội khu",,,,"0","m3","nan",,,"nan","2025-06-23","2025-06-29",,"Thi công lớp đá dăm 2x4 đệm móng hố ga"
"235","II.3","Tuyến Nội khu",,,,"0","m3","nan",,,"nan","2025-06-23","2025-06-29",,"Thi công bê tông lót M100 móng hố ga"
"236","II.3","Tuyến Nội khu",,,,"0","cái","nan",,,"nan","2025-06-23","2025-06-29",,"Lắp đặt hố ga D1250"
"249","I","Giao thông",,,,"Km0+460 - Km0+507,97","m3","5985.17",,,,"2025-06-23","2025-06-29","1","Vét hữu cơ"
"250","I","Giao thông",,,,"Km0+460 - Km0+27,08","m3","12240.69","24","40",,"2025-06-23","2025-06-29","2","Đào nền khuôn đường"
"251","I","Giao thông",,,,"Km0+460 - Km0+507,97","m3","288",,,"Phát sinh","2025-06-23","2025-06-29","3a","Đắp cát phạm vi xử lý đất yếu"
"252","I","Giao thông",,,,"Km0+460 - Km0+27,08","m3","4501.66","0","0",,"2025-06-23","2025-06-29","3","Đắp đất nền K90"
"253","I","Giao thông",,,,"Km0+460 - Km0+507,97","m3","0",,,,"2025-06-23","2025-06-29","4","Đắp đất nền K95 (phạm vi xử lý đất yếu)"
"254","I","Giao thông",,,,"Km0+460 - Km0+27,08","m3","7572.14","0","1",,"2025-06-23","2025-06-29","5","Đắp đất nền K98"
"255","I","Giao thông",,,,,"m3","3631.9125","0","0",,"2025-06-23","2025-06-29","6","Subase"
"256","I","Giao thông",,,,,"m","450","75","78",,"2025-06-23","2025-06-29","7","Dịch chuyển hàng rào tôn bảo đảm giao thông"
"257","II","Thoát nước mưa",,,,"G17 - G19","m3","1715.88","75","79","Xung đột với các hạng mục hạ tầng hiện hữu","2025-06-23","2025-06-29","1","Thi công đào móng ga cống"
"258","II","Thoát nước mưa",,,,"G17 - G19","m3","53.24","75","87",,"2025-06-23","2025-06-29","2","Thi công lớp cát đệm đầm chặt K95"
"259","II","Thoát nước mưa",,,,"G17 - G19","m3","79.86","75","87",,"2025-06-23","2025-06-29","3","Thi công lớp đá dăm 2x4 đệm"
"260","II","Thoát nước mưa",,,,"G17 - G19","m","484","120","81",,"2025-06-23","2025-06-29","4","Lắp đặt cống D800"
"261","II","Thoát nước mưa",,,,"G17 - G19","m3","9.22","20","100",,"2025-06-23","2025-06-29","5","Thi công lớp đá dăm 2x4 đệm móng hố ga"
"262","II","Thoát nước mưa",,,,"G17 - G19","m3","6.91","20","100",,"2025-06-23","2025-06-29","6","Thi công bê tông lót M100 móng hố ga"
"263","II","Thoát nước mưa",,,,"G17 - G19","cái","16","20","100",,"2025-06-23","2025-06-29","7","Lắp đặt hố ga D800"
